net,length_um
_046_,103.26
_053_,91.18
_059_,72.7
_039_,64.22
_043_,55.8
_062_,37.97
net35,35.9
net44,33.535
_010_,33.17
_064_,31.545
_067_,31.36
net20,30
_047_,29.42
_100_,28.84
net9,28.12
net1,26.82
_008_,26.04
net7,25.86
net15,25.14
net12,24.52
net14,23.52
net13,23.48
net10,23.32
net5,23.21
net18,22.64
_065_,22.58
net37,22.48
net6,22.34
net2,22.24
_049_,21.73
net25,21.2
b[0],20.91
_066_,19.96
net24,19.84
_054_,19.76
_082_,19.76
_087_,19.54
_056_,19.12
_094_,18.9
result[2],18.47
_040_,18.28
_103_,17.54
_104_,17.54
net19,17.38
a[2],17.22
_000_,17.1
net8,17.015
net4,16.92
_048_,16.795
net34,16.48
_003_,16.46
_024_,16.46
b[1],16.33
net42,15.98
_025_,15.44
_015_,15.21
result[3],15.16
_026_,15.14
net3,15.08
net29,14.98
b[2],14.76
net36,14
result[1],13.59
_041_,13.14
_023_,13.12
cout,12.98
net32,12.62
_088_,12.58
_021_,12.24
net16,11.96
_028_,11.9
_078_,11.8
_058_,11.72
a[4],11.7
_057_,11.545
_102_,11.5
_013_,11.48
net30,11.3
a[3],11.24
net11,10.84
_083_,10.7
_099_,10.7
result[7],10.68
b[7],10.56
_069_,10.54
_070_,10.4
result[0],10.34
_068_,10.3
cin,10.1
_089_,10.08
net33,10.04
_027_,9.92
b[3],9.86
_009_,9.36
alu0.result,9.36
_076_,9.15
_029_,9.08
alu2.result,9.02
_063_,8.9
net38,8.9
_014_,8.86
_051_,8.72
a[0],8.72
a[6],8.72
a[7],8.72
net46,8.5
_016_,8.46
_050_,8.2
_095_,8.14
_085_,8.1
_061_,7.82
_045_,7.68
_007_,7.56
_011_,7.56
alu5.result,7.52
net40,7.44
_012_,7.42
a[1],7.33
_004_,6.64
alu1.result,6.64
_079_,6.48
_080_,6.48
_093_,6.4
_098_,6.36
op[1],6.31
_101_,6.26
_022_,6.18
_090_,6.16
b[4],5.97
net41,5.8
result[5],5.75
alu7.result,5.74
_035_,5.72
_034_,5.62
_036_,5.6
_001_,5.46
_052_,5.4
_031_,5.38
a[5],5.29
net45,5.28
_055_,5.17
result[4],5.07
op[2],4.95
_033_,4.94
_002_,4.92
net39,4.92
net17,4.9
net26,4.82
net28,4.76
_071_,4.68
b[5],4.61
op[0],4.61
net43,4.56
result[6],4.39
_073_,4.2
_086_,4.12
_060_,4.02
_042_,4
_081_,4
alu6.result,4
b[6],3.93
_091_,3.78
alu3.result,3.54
net31,3.44
_030_,3.42
_092_,3.42
net21,3.42
_038_,3.32
_018_,3.08
_075_,3.08
_072_,3.06
_084_,2.97
_037_,2.96
_096_,2.87
_044_,2.62
_005_,2.41
_032_,2.3
_006_,2.16
_019_,2.16
_077_,2.16
_020_,1.84
_097_,1.7
_017_,1.49
_074_,1.38
alu4.result,1.38
net22,1.14
net23,1.14
net27,1.14
